FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr,a_count,contains_a
DE000MA42QE0,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QF7,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QG5,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QH3,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QK7,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QL5,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QM3,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QN1,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QP6,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QQ4,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QR2,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QS0,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QT8,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QU6,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QV4,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QW2,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QX0,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42QY8,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
